region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
2,2,JIHOČEŠI 2012,JIHOČEŠI 2012,JIHOČEŠI 2012,JIH 12
2,7,"SPD, Trikolora a PRO","SPD, Trikolora a PRO","SPD, Trikolora a PRO",SPD+Trikol+PRO
2,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
2,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
2,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
2,24,STAROSTOVÉ pro Jihočeský kraj,STAROSTOVÉ pro Jihočeský kraj,STAROSTOVÉ pro Jihočeský kraj,STAN+HOPB
2,33,"LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …",LEPŠÍ ŽIVOT PRO LIDI a NÁRODNÍ DEMOKRACIE,LEPŠÍ ŽIVOT PRO LIDI a ND,ND+LŽPL
2,39,ANO 2011,ANO 2011,ANO 2011,ANO
2,50,Jihočeská veřejnost,Jihočeská veřejnost,Jihočeská veřejnost,NEZ+DV 2016
2,68,"Společně pro jižní Čechy - TOP 09, KDU-ČSL, Tábor 2020","Společně pro j. Čechy - TOP09, KDU-ČSL, Tábor 2020",Společně pro jižní Čechy,KDU+T2020+TOP
2,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
2,73,Spolu pro lidi a krajinu,Spolu pro lidi a krajinu,Spolu pro lidi a krajinu,Zelení+Levice
2,83,"STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","STAČILO!,KSČM,ČSSD,ČSNS,SD-SN",ČSNSKSČMSDČSSD
2,85,Občanská demokratická strana,Občanská demokratická strana,Občanská demokratická strana,ODS
